fund_name,label,fund_return,benchmark_return,peer_return
K-GIFRMF,YTD,12.36,-1.5,9.35
K-GIFRMF,3M,10.64,-4.08,7.89
K-GIFRMF,6M,7.86,1.32,6.48
K-GIFRMF,1Y,21.32,14.12,13.59
K-GIFRMF,3Y,0.75,2.08,1.19
K-GIFRMF,5Y,4.99,7.11,5.72
K-GINCOMERMF,YTD,-1.79,-0.98,-1.72
K-GINCOMERMF,3M,-3.04,-2.44,-3.35
K-GINCOMERMF,6M,-2.83,-0.42,-1.89
K-GINCOMERMF,1Y,1.99,5.5,0.62
K-FLRMF,YTD,-13.63,-9.15,-8.67
K-FLRMF,3M,-8.35,-4.79,-5.22
K-FLRMF,6M,-19.26,-12.0,-11.66
K-FLRMF,1Y,-16.67,-5.88,-8.35
K-FLRMF,3Y,-9.87,-4.99,-6.51
K-FLRMF,5Y,-0.59,1.54,0.28
K-FLRMF,10Y,-1.11,1.05,-0.67
K-SFRMF,YTD,1.04,0.82,0.79
K-SFRMF,3M,0.87,0.68,0.63
K-SFRMF,6M,1.44,1.28,1.17
K-SFRMF,1Y,2.83,2.57,2.25
K-SFRMF,3Y,1.98,1.88,1.66
K-SFRMF,5Y,1.53,1.41,1.09
K-SFRMF,10Y,1.51,1.54,1.18
KPVDSF,YTD,1.19,0.82,0.79
KPVDSF,3M,0.98,0.68,0.63
KPVDSF,6M,1.67,1.28,1.17
KPVDSF,1Y,3.32,2.57,2.25
KPVDSF,3Y,2.49,1.88,1.66
KPVDSF,5Y,1.96,1.41,1.09
K-GOLD-A(A),YTD,23.38,24.36,23.33
K-GOLD-A(A),3M,16.35,16.72,16.89
K-GOLD-A(A),6M,15.65,16.12,15.91
K-GOLD-A(A),1Y,34.61,35.96,31.82
K-GOLD-A(A),3Y,14.47,15.65,14.73
K-GB-A(D),YTD,0.75,1.38,1.19
K-GB-A(D),3M,0.87,1.41,0.99
K-GB-A(D),6M,0.54,1.5,1.32
K-GB-A(D),1Y,2.2,3.52,1.23
K-GB-A(D),3Y,-1.62,0.75,-0.03
K-GB-A(D),5Y,-1.48,-0.57,0.37
K-GB-A(D),10Y,-0.87,1.73,-1.16
KEQLTF-C(L),YTD,-12.15,-12.49,-11.45
KEQLTF-C(L),3M,-7.59,-6.8,-6.83
