fund_name,rank,holding_name,ratio
KPVDSF,1,พันธบัตร (CBF25512A),5.61
KPVDSF,2,พันธบัตร (CBF25616A),5.44
KPVDSF,3,พันธบัตร (CBF25513A),5.08
KPVDSF,4,หุ้นกู้ (SCGC259A),5.04
KPVDSF,5,หุ้นกู้ (MTC266E),4.42
K-ESGSI-ThaiESG,1,พันธบัตร (ESGLB35DA),42.36
K-ESGSI-ThaiESG,2,พันธบัตร (ESGLB376A),22.2
K-ESGSI-ThaiESG,3,พันธบัตร (SLB406A),16.45
K-ESGSI-ThaiESG,4,พันธบัตร (LB436A),6.61
K-ESGSI-ThaiESG,5,พันธบัตร (LB456A),5.29
KPVDFI,1,พันธบัตร (LB336A),8.13
KPVDFI,2,หุ้นกู้ (SCGC279A),4.88
KPVDFI,3,พันธบัตร (LB31DA),4.69
KPVDFI,4,เงินฝาก ธนาคารอาคารสงเคราะห์,3.67
KPVDFI,5,พันธบัตร (LB353A),3.36
K70LTF-A(D),1,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,28.44
K70LTF-A(D),2,หุ้น บมจ.แอดวานซ์ อินโฟร์ เซอร์วิส,7.95
K70LTF-A(D),3,หุ้น บมจ. กัลฟ์ ดีเวลลอปเมนท์,6.62
K70LTF-A(D),4,หุ้น บมจ.ซีพี ออลล์,5.06
K70LTF-A(D),5,หุ้น บมจ.ธนาคารกรุงไทย,3.77
K-SELECT,1,เงินฝาก บมจ.ธนาคารกรุงเทพ,18.56
K-SELECT,2,หุ้น บมจ. เมืองไทย แคปปิตอล,9.78
K-SELECT,3,หุ้น บมจ.ทรูคอร์ปอเรชั่น,9.43
K-SELECT,4,หุ้น บมจ. กัลฟ์ ดีเวลลอปเมนท์,9.04
K-SELECT,5,หุ้น บมจ.ซีพี ออลล์,7.17
K-AHYA-UI,1,"LO-Asia Diversified High Yield Bond,X1 (USD) IA",97.35
K-AHYA-UI,2,เงินฝาก ธนาคารไทยพาณิชย์ จำกัด (มหาชน),1.8
K-FIRMF,1,พันธบัตร (LB336A),6.69
K-FIRMF,2,หุ้นกู้ (SCGC279A),5.81
K-FIRMF,3,หุ้นกู้ (TIDLOR278B),3.56
K-FIRMF,4,หุ้นกู้ (WHA283B),3.12
K-FIRMF,5,พันธบัตร (LB26DA),3.09
K-WPSPARK,1,กองทุนเปิดเค ตราสารหนี้ ชนิดผู้ลงทุนทั่วไป,35.06
K-WPSPARK,2,JPM Global Select Equity I (acc) - USD,11.19
K-WPSPARK,3,JPM US Select Equity Fund – I Acc USD,9.7
K-WPSPARK,4,JPMorgan Funds US Equity All Cap Fund I (acc)-USD,6.07
K-WPSPARK,5,JPM Europe Equity I (acc) - EUR,5.31
K-PLAN2,1,พันธบัตร (CB26108A),5.64
K-PLAN2,2,พันธบัตร (CB26205A),5.32
K-PLAN2,3,SPDR S&P500 ETF,4.92
K-PLAN2,4,Invesco Nasdaq 100 ETF,4.49
K-PLAN2,5,พันธบัตร (CBF25O14A),2.88
K-WPSPEEDRMF,1,กองทุนเปิดเค ตราสารหนี้ ชนิดผู้ลงทุนทั่วไป,21.36
K-WPSPEEDRMF,2,JPM Global Select Equity I (acc) - USD,15.8
K-WPSPEEDRMF,3,JPM US Select Equity Fund – I Acc USD,15.63
K-WPSPEEDRMF,4,JPMorgan Funds US Equity All Cap Fund I (acc)-USD,8.05
K-WPSPEEDRMF,5,JPM Europe Equity I (acc) - EUR,6.87
K-S50RMF,1,หุ้น บมจ.เดลต้า อีเลคโทรนิคส์(ประเทศไทย),10.96
K-S50RMF,2,หุ้น บมจ.ปตท.,7.94
K-S50RMF,3,หุ้น บมจ.แอดวานซ์ อินโฟร์ เซอร์วิส,7.87
K-S50RMF,4,หุ้น บมจ. กัลฟ์ ดีเวลลอปเมนท์,7.82
K-S50RMF,5,หุ้น บมจ.ท่าอากาศยานไทย,4.9
K-MVEQ,1,หุ้น บมจ.แอดวานซ์ อินโฟร์ เซอร์วิส,9.21
K-MVEQ,2,หุ้น บมจ. กัลฟ์ ดีเวลลอปเมนท์,8.15
K-MVEQ,3,เงินฝาก บมจ.ธนาคารกรุงเทพ,7.64
K-MVEQ,4,หุ้น บมจ.ทิสโก้ไฟแนนเชียลกรุ๊ป,7.06
K-MVEQ,5,หุ้น บมจ.ปตท.,6.04
K-GPROP-A(A),1,"Janus Henderson Horizon Global Property Equities Fund,Class H3q USD",97.77
K-GPROP-A(A),2,เงินฝาก บมจ.ธนาคารกรุงเทพ,1.45
K-GPROP-A(A),3,เงินฝาก The Bank of New York Mellon SA/NV,1.09
K-GPROP-A(A),4,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.01
K-JPX-A(A),1,Next Funds Topix Exchange Traded Fund,101.96
K-JPX-A(A),2,เงินฝาก ธนาคารไทยพาณิชย์ จำกัด (มหาชน),2.21
K-JPX-A(A),3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.07
K-HIT-A(A),1,Allianz Thematica-P,102.44
K-HIT-A(A),2,เงินฝาก ธนาคารไทยพาณิชย์ จำกัด (มหาชน),2.02
K-HIT-A(A),3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.3
K-HIT-A(A),4,เงินฝาก Clearsteam Banking Luxembourg,0.03
K-AB22A,1,กองทุนเปิดเค ตราสารหนี้ ชนิดผู้ลงทุนสถาบันพิเศษ,60.76
K-AB22A,2,กองทุนเปิดเค หุ้นกู้ ชนิดผู้ลงทุนสถาบันพิเศษ,20.39
K-AB22A,3,หุ้นกู้ (NCPT100053),6.4
K-AB22A,4,พันธบัตร (CBF26119A),6.04
K-AB22A,5,เงินฝาก บมจ.ธนาคารกรุงเทพ,3.85
K-INDIA-A(A),1,Goldman Sachs India Equity Portfolio,98.84
K-INDIA-A(A),2,เงินฝาก บมจ.ธนาคารกสิกรไทย,3.86
K-INDIA-A(A),3,เงินฝาก บมจ.ธนาคารกรุงเทพ,2.24
K-INDIA-A(A),4,เงินฝาก The Bank of New York Mellon SA/NV,0.37
K-GINFRA-A(D),1,Wellington Enduring Asset fund,96.66
K-GINFRA-A(D),2,เงินฝาก บมจ.ธนาคารกรุงเทพ,4.92
K-GINFRA-A(D),3,เงินฝาก บมจ.ธนาคารกสิกรไทย,1.99
K-GINFRA-A(D),4,เงินฝาก JP MORGAN CHASE BANK,0.01
K-GINFRA-A(D),5,เงินฝาก The Bank of New York Mellon SA/NV,0.01
K-GHRMF,1,JP Morgan Funds - Global Healthcare Fund (JPHLUAA LX),96.66
K-GHRMF,2,เงินฝาก บมจ.ธนาคารกรุงเทพ,2.1
K-GHRMF,3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.09
K-GEMO,1,SISF GLOBAL EMERGING MARKET OPPORTUNITIES,96.87
K-GEMO,2,เงินฝาก ธนาคารซิตี้แบงก์ เอ็น เอ,2.89
K-GEMO,3,เงินฝาก ธนาคารซิตี้แบงก์ เอ็น เอ,0.13
K-GEMO,4,เงินฝาก ธนาคารซิตี้แบงก์ เอ็น เอ,0.01
K-GEMO,5,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.01
K-VALUE,1,หุ้น บมจ.ธนาคารกสิกรไทย,9.32
K-VALUE,2,หุ้น บมจ.แอดวานซ์ อินโฟร์ เซอร์วิส,9.31
K-VALUE,3,หุ้น บมจ.ปตท.สำรวจและผลิตปิโตรเลียม,9.2
K-VALUE,4,หุ้น บมจ.ธนาคารกรุงไทย,8.67
K-VALUE,5,หุ้น บมจ.ปตท.,8.38
KASF,1,พันธบัตร (CB25D11A),11.76
KASF,2,พันธบัตร (CBF25714A),9.8
KASF,3,พันธบัตร (CB25N06A),8.83
KASF,4,พันธบัตร (CBF25O14A),7.95
KASF,5,พันธบัตร (CBF25616A),6.95
K-PROPIRMF,1,หุ้น Link REIT,10.05
K-PROPIRMF,2,หุ้น Ascendas Real Estate Investment Trust,8.52
K-PROPIRMF,3,หุ้น ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์เพื่ออุตสาหกรรมเฟรเซอร์ส พร็อพเพอร์ตี้,8.04
K-PROPIRMF,4,หุ้น Capitaland MallTrust,7.91
K-PROPIRMF,5,หุ้น ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า แอ็กซ์ตร้า ฟิวเจอร์ ซิตี้,7.89
K-PLAN3,1,SPDR S&P500 ETF,8.42
K-PLAN3,2,Invesco Nasdaq 100 ETF,8.16
K-PLAN3,3,พันธบัตร (CB26205A),5.04
K-PLAN3,4,iShares India 50 ETF (INDY US Equity),4.18
K-PLAN3,5,หุ้น บมจ.ซีพี ออลล์,3.93
K20SLTF-A(D),1,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,15.63
K20SLTF-A(D),2,หุ้น บมจ. เซ็นทรัลพัฒนา,10.02
K20SLTF-A(D),3,หุ้น บมจ.ซีพี ออลล์,8.04
K20SLTF-A(D),4,หุ้น บมจ.ทรูคอร์ปอเรชั่น,8.02
K20SLTF-A(D),5,หุ้น บมจ.ธนาคารกรุงไทย,7.71
K-TREASURY,1,พันธบัตร (CB25717A),9.02
K-TREASURY,2,พันธบัตร (CB25515A),7.04
K-TREASURY,3,พันธบัตร (CB25612A),6.29
K-TREASURY,4,พันธบัตร (CBF25714B),5.79
K-TREASURY,5,พันธบัตร (CB25724A),5.46
K-CHANGE-A(A),1,Baillie Gifford Positive Change Fund,100.85
K-CHANGE-A(A),2,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,2.29
K-CHANGE-A(A),3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.04
K-2510,1,พันธบัตร (CB25D11A),8.56
K-2510,2,พันธบัตร (CBF26427A),7.07
K-2510,3,หุ้นกู้ (TBEV26NA),6.09
K-2510,4,หุ้นกู้ (BJC276A),5.78
K-2510,5,หุ้นกู้ (TIDLOR258A),4.68
K-2530,1,พันธบัตร (LB29DA),7.45
K-2530,2,หุ้นกู้ (TBEV26NA),5.14
K-2530,3,พันธบัตร (LB31DA),4.07
K-2530,4,หุ้นกู้ (BSRC281A),3.23
K-2530,5,พันธบัตร (LB284A),3.23
K-APB-A(A),1,Lombard Odier Funds SICAV-Asia Value Bond SHS N USD Unhedged-Capitalisation,95.98
K-APB-A(A),2,เงินฝาก ธนาคารไทยพาณิชย์ จำกัด (มหาชน),2.78
K-APB-A(A),3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.83
K-APB-A(A),4,เงินฝาก JP MORGAN CHASE BANK,0.02
KSDLTF,1,หุ้น บมจ.ปตท.,8.18
KSDLTF,2,หุ้น บมจ.แอดวานซ์ อินโฟร์ เซอร์วิส,7.11
KSDLTF,3,หุ้น บมจ.ซีพี ออลล์,6.06
KSDLTF,4,หุ้น บมจ. กัลฟ์ ดีเวลลอปเมนท์,6.0
KSDLTF,5,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,5.63
K-CHANGERMF,1,Baillie Gifford Positive Change Fund,101.17
K-CHANGERMF,2,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,1.89
K-CHANGERMF,3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.02
K-CHANGERMF,4,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,0.01
K-GARMF,1,BGF-GLOBAL ALLOCATION FUND A2,96.85
K-GARMF,2,เงินฝาก ธนาคารซิตี้แบงก์ เอ็น เอ,2.43
K-GARMF,3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.03
K-GARMF,4,เงินฝาก ธนาคารซิตี้แบงก์ เอ็น เอ,0.01
KACB,1,พันธบัตร (CBF25O14A),5.72
KACB,2,พันธบัตร (CB26205A),5.48
KACB,3,พันธบัตร (CB26305A),4.81
KACB,4,หุ้นกู้ (GULF299A),3.75
KACB,5,พันธบัตร (CB26402A),3.08
K-GSTEPB,1,พันธบัตร (US912803CG62),59.74
K-GSTEPB,2,Amundi Index Euro Corporate SRI- UCITS ETF DR- EUR- FP,14.8
K-GSTEPB,3,พันธบัตร (US912797PT86),2.52
K-GSTEPB,4,Amundi Index US Corp SRI UCITS ETF,2.46
K-GSTEPB,5,Amundi Euro High Yield Liquid Bond IBOXX (C),2.46
K-INDX,1,iShares India 50 ETF (INDY US Equity),96.87
K-INDX,2,เงินฝาก ธนาคารไทยพาณิชย์ จำกัด (มหาชน),2.76
K-INDX,3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.45
K-INDX,4,เงินฝาก JP MORGAN CHASE BANK,0.03
K-BLRMF,1,พันธบัตร (CB26205A),5.78
K-BLRMF,2,พันธบัตร (CB26108A),5.33
K-BLRMF,3,หุ้นกู้ (IVL26NA),3.65
K-BLRMF,4,พันธบัตร (ILB283A),3.61
K-BLRMF,5,พันธบัตร (CBF25513A),3.28
K-PROPI-A(D),1,หุ้น Link REIT,10.31
K-PROPI-A(D),2,หุ้น Ascendas Real Estate Investment Trust,8.49
K-PROPI-A(D),3,หุ้น ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์เพื่ออุตสาหกรรมเฟรเซอร์ส พร็อพเพอร์ตี้,8.01
K-PROPI-A(D),4,หุ้น Capitaland MallTrust,7.9
K-PROPI-A(D),5,หุ้น ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า แอ็กซ์ตร้า ฟิวเจอร์ ซิตี้,7.87
K-WPSPEEDUP,1,กองทุนเปิดเค ตราสารหนี้ ชนิดผู้ลงทุนทั่วไป,21.53
K-WPSPEEDUP,2,JPM Global Select Equity I (acc) - USD,16.09
K-WPSPEEDUP,3,JPM US Select Equity Fund – I Acc USD,14.04
K-WPSPEEDUP,4,JPMorgan Funds US Equity All Cap Fund I (acc)-USD,8.45
K-WPSPEEDUP,5,JPM Europe Equity I (acc) - EUR,7.23
K-ALLGR-UI-A(A),1,"LO Funds- All Roads Growth,Syst .NAV Hdg, (USD) I",96.76
K-ALLGR-UI-A(A),2,เงินฝาก ธนาคารไทยพาณิชย์ จำกัด (มหาชน),1.71
K-ALLGR-UI-A(A),3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.07
K-ALLGR-UI-A(A),4,เงินฝาก JP MORGAN CHASE BANK,0.01
K-GB-A(D),1,JPM Aggregate Bond I (acc) - USD,96.72
K-GB-A(D),2,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,2.72
K-GB-A(D),3,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,0.03
K-GB-A(D),4,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.01
K-EUROPE-A(D),1,Allianz Europe Equity Growth Fund. Class AT-EUR,100.06
K-EUROPE-A(D),2,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,2.89
K-EUROPE-A(D),3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.3
K-ALLRD-UI-A(A),1,"LO Funds - All Roads, Syst. NAV Hdg, (USD), I Class A",95.98
K-ALLRD-UI-A(A),2,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,2.9
K-ALLRD-UI-A(A),3,เงินฝาก บมจ.ธนาคารทหารไทยธนชาต,0.01
K-ALLRD-UI-A(A),4,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.01
K-MONEY,1,พันธบัตร (CBF25714B),6.31
K-MONEY,2,พันธบัตร (CBF25O20A),5.04
K-MONEY,3,พันธบัตร (CBF25O06A),5.01
K-MONEY,4,พันธบัตร (CB25502A),4.55
K-MONEY,5,เงินฝาก Agricultural Bank Of China,4.53
K-MIDSMALL,1,หุ้น บมจ. เมืองไทย แคปปิตอล,7.83
K-MIDSMALL,2,หุ้น บมจ.การบินกรุงเทพ,6.1
K-MIDSMALL,3,หุ้น บมจ. แพลน บี มีเดีย,5.96
K-MIDSMALL,4,เงินฝาก ธนาคารไทยพาณิชย์ จำกัด (มหาชน),5.59
K-MIDSMALL,5,หุ้น บมจ.คาราบาวกรุ๊ป,5.57
K-FIXED-A,1,พันธบัตร (LB456A),5.24
K-FIXED-A,2,พันธบัตร (LB336A),4.67
K-FIXED-A,3,พันธบัตร (LB353A),4.59
K-FIXED-A,4,เงินฝาก บมจ.ธนาคารกรุงเทพ,4.48
K-FIXED-A,5,พันธบัตร (LB346A),3.45
K-USARMF,1,Brown Advisory U.S. Sustainable Growth Fund,96.56
K-USARMF,2,เงินฝาก บมจ.ธนาคารกรุงเทพ,2.45
K-USARMF,3,เงินฝาก บมจ.ธนาคารกสิกรไทย,0.17
K-USARMF,4,เงินฝาก The Bank of New York Mellon SA/NV,0.02
