fund_name,policy,fund_manager_name
KPVDSF,เน้นลงทุนในตราสารหนี้ภาครัฐและเอกชน เงินฝากหรือตราสารเทียบเท่าเงินฝาก รวมทั้งอาจลงทุนในศุกูก สัญญาซื้อขายล่วงหน้าที่มิได้มีวัตถุประสงค์เพื่อลดความเสี่ยง (Non-Hedging) เพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) ตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง ธุรกรรมประเภทการซื้อโดยมีสัญญาขายคืน ธุรกรรมการให้ยืมหลักทรัพย์ และ/หรือหน่วย CIS ในประเทศ | จะดำรงพอร์ตโฟลิโอ ดูเรชั่น (Portfolio Duration) ของกองทุนในขณะใดขณะหนึ่งไว้ไม่เกิน 1 ปี | อาจลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถือต่ำกว่าที่สามารถลงทุนได้ (non – investment grade) และตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือ (unrated) ได้ไม่เกิน 20% ของ NAV | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,นาง สลิลสิริ เรืองสุขอุดม
K-ESGSI-ThaiESG,กองทุนจะลงทุนในพันธบัตรรัฐบาล พันธบัตรที่กระทรวงการคลังคํ้าประกันต้นเงินและดอกเบี้ย หรือหุ้นกู้ที่กระทรวงการคลังค้ำประกันต้นเงินและดอกเบี้ยแต่ไม่รวมถึงหุ้นกู้แปลงสภาพ ซึ่งเป็นพันธบัตรหรือหุ้นกู้เพื่ออนุรักษ์สิ่งแวดล้อม (green bond) พันธบัตรหรือหุ้นกู้เพื่อความยั่งยืน (sustainability bond) หรือพันธบัตรหรือหุ้นกู้ส่งเสริมความยั่งยืน (sustainability – linked bond) โดยเฉลี่ยในรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV | กองทุนอาจลงทุนในหน่วยลงทุนของกองทุนรวมตราสารหนี้อื่นซึ่งอยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันได้ โดยเฉลี่ยในรอบปีบัญชีไม่เกิน 20% ของ NAV และกองทุนรวมตราสารหนี้อื่นนั้นมีการลงทุนในหรือมีไว้ซึ่งหน่วยลงทุนของกองทุนรวมใดๆ ที่บริษัทจัดการเดียวกันเป็นผู้รับผิดชอบในการดำเนินการต่อไปได้อีกไม่เกิน 1 ทอด | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | กองทุนอาจลงทุนในตราสารต่างประเทศได้ไม่เกิน 20% ของ NAV โดยจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนทั้งหมดหรือเกือบทั้งหมด | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),นาง สลิลสิริ เรืองสุขอุดม
K-GB6MCA,กองทุนจะลงทุนในพันธบัตรหรือตราสารหนี้ภาครัฐและหรือเงินฝากในประเทศ | กองทุนจะมุ่งเน้นลงทุนเพียงครั้งเดียวโดยถือทรัพย์สินที่ลงทุนไว้จนครบกำหนดอายุของทรัพย์สิน หรือครบอายุของรอบการลงทุนของกองทุนรวม หรือครบอายุของกองทุนรวม (buy-and-hold fund),นาย ชวลิต ปทุมวาสนา
KPVDFI,เน้นลงทุนในตราสารหนี้ภาครัฐและเอกชน เงินฝากหรือตราสารเทียบเท่าเงินฝาก รวมทั้งอาจลงทุนในศุกูก สัญญาซื้อขายล่วงหน้าที่มิได้มีวัตถุประสงค์เพื่อลดความเสี่ยง (Non-Hedging) เพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) ตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง ธุรกรรมประเภทการซื้อโดยมีสัญญาขายคืน ธุรกรรมการให้ยืมหลักทรัพย์ และ/หรือหน่วย CIS ในประเทศ | อาจลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถือต่ำกว่าที่สามารถลงทุนได้ (non – investment grade) และตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือ (unrated) ได้ไม่เกิน 20% ของ NAV | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. ทรงพร สืบสายไทย
K70LTF-A(D),ลงทุนในหุ้นไทยที่มีปัจจัยพื้นฐานดี มีความมั่นคง ไม่น้อยกว่า 65% และไม่เกิน 70% ของ NAV และส่วนที่เหลือจะลงทุนในเงินฝากหรือตราสารหนี้ที่มีความเสี่ยงต่ำ | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),-
K70LTF-C(L),ลงทุนในหุ้นไทยที่มีปัจจัยพื้นฐานดี มีความมั่นคง ไม่น้อยกว่า 65% และไม่เกิน 70% ของ NAV และส่วนที่เหลือจะลงทุนในเงินฝากหรือตราสารหนี้ที่มีความเสี่ยงต่ำ | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),-
K-SELECT,ลงทุนในหุ้นไทย เน้นคัดสรรหุ้นเด่นโดยเน้นลงทุนในหุ้นรายตัวไม่จำกัดมูลค่าหลักทรัพย์ตามราคาตลาด (Market Capitalization) ประมาณ 20-25 ตัว (high conviction) ที่มีปัจจัยพื้นฐานดี มีศักยภาพในการทำกำไรและเติบโตได้ในระยะกลางถึงยาวในระดับราคาที่เหมาะสม | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),นาย พิศิษฏ์ ไชยพร
K-AHYA-UI,"กองทุนนี้เปลี่ยน Share Class ของกองทุนหลักจาก (USD), NA เป็น X1, (USD), IA เมื่อวันที่ 4 เม.ย. 66 | ลงทุนในกองทุน LO Funds – Asia Diversified High Yield Bond, X1, (USD), IA (กองทุนหลัก) ที่มีนโยบายลงทุนในพันธบัตร ตราสารหนี้ทั้งที่จ่ายดอกเบี้ยแบบคงที่หรือลอยตัว หุ้นกู้แปลงสภาพ หุ้นกู้ที่มีใบสำคัญแสดงสิทธิในตราสารที่เปลี่ยนมือได้ และตราสารหนี้ระยะสั้นที่มีอันดับความน่าเชื่อถือตํ่ากว่าอันดับที่สามารถลงทุนได้หรือเทียบเท่า ซึ่งตราสารดังกล่าวออกหรือคํ้าประกันโดยหน่วยงานภาครัฐหรือเอกชนในภูมิภาคเอเชียแปซิฟิก รวมถึงองค์กรที่จัดตั้งหรือดำเนินธุรกิจในภูมิภาคเอเชียแปซิฟิก (รวมถึงประเทศญี่ปุ่นและออสเตรเลีย) | อาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) และสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | อาจลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถือต่ำกว่าที่สามารถลงทุนได้และตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือทั้งในและต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Lombard Odier Funds (Europe) S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. สุธีวัน พงศธราธิก
K-FIRMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KFIRMF เมื่อวันที่ 12 มีนาคม 2568 | ลงทุนในตราสารหนี้ภาครัฐและภาคเอกชน และเงินฝากในประเทศ | ลงทุนในหน่วยลงทุนของกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารจัดการได้ไม่เกิน 60% ของ NAV และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. ทรงพร สืบสายไทย
K-WPSPARK,กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเวลธ์พลัส สปาร์ค เมื่อวันที่ 22 มีนาคม 2567 | ลงทุนในหน่วยลงทุนของกองทุนรวมทั้งในและต่างประเทศ ที่มีนโยบายลงทุนในตราสารทุน ตราสารหนี้ ทรัพย์สินทางเลือก และหรือทรัพย์สินอื่นใดตามที่กฎหมาย ก.ล.ต. กำหนด ตั้งแต่ 2 กองทุนขึ้นไป | ลงทุนโดยอ้างอิงสัดส่วนการลงทุนจากโปรแกรมที่บริษัทจัดการพัฒนาร่วมกับ JPMorgan Asset Management (Singapore) Limited และจะมีการปรับสัดส่วนการลงทุนและ/หรือทรัพย์สินที่ลงทุนตามที่บริษัทจัดการเห็นสมควร | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และอาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. สุธีวัน พงศธราธิก
