fund_name,maximumDrawdown,recoveringPeriodMonths,fxHedging,trackingError,sharpeRatio,alpha,beta,portfolioTurnoverRatio,yieldToMaturity
KPVDSF,-0.27,2,,0.13,4.24,0.61,0.28,1.66,2.15
K-ESGSI-ThaiESG,-1.5,1,,,,,,1.87,2.09
K-GB6MCA,,0,,,,,,,
KPVDFI,-1.85,7,,0.54,2.49,1.4,1.46,1.61,2.19
K70LTF-A(D),-25.52,0,,3.58,-0.86,-1.74,0.96,1.22,0.25
K70LTF-C(L),-25.11,0,,3.58,-0.85,-1.6,0.96,1.22,0.25
K-SELECT,-44.02,0,,10.07,-1.11,-6.5,0.98,1.88,0.09
K-AHYA-UI,-39.18,0,93.91,3.05,0.15,,0.68,0.09,
K-FIRMF,-2.51,10,,0.38,1.84,0.35,0.75,1.73,2.27
K-WPSPARK,-17.03,0,19.08,7.96,0.11,-0.84,0.57,1.32,
K-PLAN2,-5.46,0,23.37,3.28,-0.53,-1.07,0.72,1.52,1.37
K-WPSPEEDRMF,-10.31,0,6.5,,,,,0.67,
K-S50RMF,-28.81,0,,0.33,-0.48,-0.73,0.99,0.24,0.01
K-MVEQ,-23.1,0,,7.18,-0.57,1.46,0.75,1.19,0.04
K-GPROP-A(A),-39.11,0,89.3,16.54,-0.61,-5.25,0.72,0.08,
K-GPROP-A(D),-39.12,0,89.3,16.54,-0.6,-5.25,0.72,0.08,
K-JPX-A(A),-21.24,0,91.49,,0.78,0.69,0.91,0.73,
K-JPX-C(A),-21.23,0,91.49,,0.95,2.78,0.9,0.73,
K-HIT-A(A),-24.02,0,86.58,20.09,-0.14,-8.76,0.46,0.12,
K-AB22A,-12.58,0,,0.26,1.6,,0.22,0.15,0.32
K-INDIA-A(A),-20.4,0,88.29,5.35,0.27,-0.3,0.88,0.51,
K-INDIA-A(D),-26.58,20,88.29,5.35,0.37,-1.76,0.9,0.51,
K-GINFRA-A(D),-24.95,0,89.05,12.5,0.02,-1.22,0.66,1.26,
K-GINFRA-C(A),-18.09,11,89.05,12.53,0.2,-0.81,0.6,1.26,
K-GHRMF,-22.76,0,88.31,14.61,-0.26,-4.41,0.66,0.03,
K-GEMO,-42.25,0,89.06,10.15,-0.14,-3.19,0.94,0.1,
K-VALUE,-26.06,0,,3.41,-0.51,-4.59,0.93,1.27,0.03
KASF,-0.26,3,,0.16,1.67,0.14,0.26,2.45,1.82
K-PROPIRMF,-25.47,0,80.93,4.01,-0.4,-0.82,1.08,0.64,
K-PLAN3,-13.21,0,6.94,5.43,-0.65,-1.84,0.79,1.19,0.88
K20SLTF-A(D),-37.83,0,,7.03,-0.9,-2.74,0.94,0.36,0.09
K20SLTF-C(L),-37.53,0,,7.03,-0.89,-2.61,0.94,0.36,0.09
K-TREASURY,-0.02,0,,0.08,-5.77,-0.41,0.48,0.87,1.77
K-CHANGE-A(A),-41.11,0,87.31,23.24,-0.11,-9.15,0.43,1.04,
K-CHANGE-C(A),-21.52,0,87.31,23.24,-0.1,-10.98,0.39,1.04,
K-CHANGE-SSF,-41.15,0,87.31,23.24,-0.11,-9.16,0.43,1.04,
K-2510,-5.44,0,,2.23,-0.74,-1.72,2.21,2.11,1.82
K-2530,-12.81,0,,3.6,-0.71,-2.39,1.46,1.23,1.36
K-APB-A(A),-36.06,0,88.5,0.76,-0.14,-5.35,1.0,0.33,
K-APB-C(A),-7.93,0,88.5,,,,,0.33,
KSDLTF,-5.87,0,,14.9,-0.54,6.76,0.12,0.07,0.03
K-CHANGERMF,-40.96,0,88.89,23.21,-0.11,-9.14,0.42,1.02,
K-GARMF,-22.29,0,90.61,9.59,-0.02,-3.87,0.72,0.02,
KACB,-1.38,6,,0.25,2.41,1.05,1.05,1.66,2.2
K-GSTEPB,-2.81,0,89.02,,,,,0.91,
K-INDX,-20.19,21,91.89,12.4,0.22,-4.26,0.58,0.39,
K-BLRMF,-13.16,0,,2.47,-0.89,-2.4,1.26,1.48,1.4
K-PROPI-A(D),-26.14,0,81.68,4.17,-0.4,-0.82,1.09,0.61,
K-WPSPEEDUP,-22.02,0,7.2,10.87,-0.09,-3.4,0.58,1.23,
K-ALLGR-UI-A(A),-15.89,21,94.3,8.01,-0.21,,0.0,0.01,
K-ALLGR-UI-C(A),-10.1,0,94.3,8.01,0.14,,0.0,0.01,
K-GB-A(D),-17.14,0,89.32,2.68,-0.86,-2.37,0.57,0.33,
K-GB-C(A),-6.83,10,89.32,2.68,-0.55,-1.19,0.6,0.33,
K-EUROPE-A(D),-39.05,0,87.86,15.15,-0.05,-4.14,0.85,0.1,
K-FGB6MJ(USD),,0,,,,,,,
K-ALLRD-UI-A(A),-9.55,17,94.72,4.64,-0.26,,0.0,0.23,
K-MONEY,-0.04,1,100.49,0.09,-5.49,0.43,0.02,0.95,2.04
K-MIDSMALL,-48.18,0,,12.16,-1.23,-10.62,1.1,0.78,0.03
K-FIXED-A,-3.62,18,,0.46,1.22,0.78,1.48,0.71,1.98
K-FIXED-Z,-2.22,7,,0.46,1.66,1.23,1.49,0.71,1.98
K-USARMF,-63.84,0,89.42,1.37,0.11,-8.61,0.99,0.09,
K-GINCOME-A(A),-17.62,0,90.12,8.3,-0.3,-3.83,0.57,0.1,
K-GINCOME-A(R),-17.69,0,90.12,7.88,-0.29,-3.87,0.65,0.1,
K-GINCOME-SSF,-17.65,0,90.12,8.3,-0.3,-3.85,0.57,0.1,
K-FEQ,-35.97,0,,6.89,-0.91,-5.59,1.33,0.22,0.08
KAEQ,-33.26,0,,5.32,-0.78,-1.53,0.99,0.28,0.02
K-FI22J,-8.48,40,,0.25,0.63,,0.24,0.32,0.41
K-FI22J,-8.48,40,,0.25,0.63,,0.24,0.32,0.41
K-ALPHA-AGG-UI,-10.52,0,90.33,5.94,-0.32,-7.11,0.77,0.72,
K-GPINUH-A(A),-6.03,1,0.0,,,,,,
K-GPINUH-A(R),-6.03,1,0.0,,,,,,
K-GPINUH-C(A),-6.03,1,0.0,,,,,,
K-PLANET-A(A),-29.46,0,88.01,6.23,-0.23,-11.51,0.94,,
K-GTECHRMF,-28.53,0,89.41,6.69,0.39,-5.19,0.95,0.06,
K-GOLD-A(A),-21.7,17,96.32,7.57,0.97,-1.18,0.92,0.03,
K-GOLD-A(D),-22.33,17,96.32,7.58,0.97,-1.26,0.92,0.03,
K-ASIA,-31.12,0,90.63,14.02,0.01,0.06,0.53,0.09,
K-WORLDX,-26.42,17,90.19,5.32,0.35,-1.25,1.13,0.43,
K-GLOBE,-19.09,18,0.0,5.14,0.47,-1.28,1.03,0.33,
K-70ThaiESGX-68,,0,,,,,,,
K-GIFRMF,-25.15,0,90.11,12.48,0.01,-1.33,0.67,1.07,
K-GSELECT,-17.22,0,92.79,,,,,0.31,
