mutual_fund_managementRate_max,mutual_fund_managementRate_actual,mutual_fund_totalExpenseRate_max,mutual_fund_totalExpenseRate_actual,unit_hold_frontEndFeeRate_max,unit_hold_frontEndFeeRate_actual,unit_hold_backEndFeeRate_max,unit_hold_backEndFeeRate_actual,fund_name
1.07,0.0,3.42,0.06,3.0,0.0,3.0,0.0,KPVDSF
1.07,0.21,2.35,0.27,1.0,0.0,1.0,0.0,K-ESGSI-ThaiESG
2.14,0.0,2.46,0.0,,,,,K-GB6MCA
1.07,0.0,3.42,0.06,3.0,0.0,3.0,0.0,KPVDFI
1.87,1.87,2.43,2.05,2.0,1.0,2.0,0.0,K70LTF-A(D)
1.87,1.87,2.43,2.05,2.0,0.0,,,K70LTF-C(L)
2.01,2.01,3.37,2.22,2.0,1.0,1.0,0.0,K-SELECT
3.21,0.8,4.87,0.88,1.0,0.0,,,K-AHYA-UI
0.8,0.48,1.36,0.65,,,2.0,0.0,K-FIRMF
3.21,0.86,4.87,0.96,2.0,0.5,2.0,0.0,K-WPSPARK
1.07,0.8,2.35,0.93,0.5,0.5,0.5,0.0,K-PLAN2
3.21,1.07,4.87,1.13,,,2.0,0.0,K-WPSPEEDRMF
1.87,0.54,2.68,0.74,,,2.0,0.0,K-S50RMF
3.21,1.07,4.01,1.35,3.0,1.0,3.0,0.0,K-MVEQ
3.21,1.28,4.01,1.48,3.0,1.5,3.0,0.0,K-GPROP-A(A)
3.21,1.28,4.01,1.48,3.0,1.5,3.0,0.0,K-GPROP-A(D)
3.21,0.54,4.01,0.61,1.5,0.0,1.5,0.15,K-JPX-A(A)
3.21,0.54,4.01,0.61,1.5,0.0,1.5,0.0,K-JPX-C(A)
3.21,1.28,4.87,1.37,3.0,1.5,3.0,0.0,K-HIT-A(A)
3.21,0.0,4.87,0.06,1.0,0.0,,,K-AB22A
3.21,1.6,4.01,1.85,1.5,1.5,1.5,0.0,K-INDIA-A(A)
3.21,1.6,4.01,1.85,1.5,1.5,1.5,0.0,K-INDIA-A(D)
3.21,1.6,4.01,1.76,3.0,1.5,3.0,0.0,K-GINFRA-A(D)
3.21,1.6,4.01,1.76,3.0,0.0,3.0,0.0,K-GINFRA-C(A)
3.21,1.6,4.01,1.73,,,3.0,0.0,K-GHRMF
3.21,1.28,4.01,1.46,1.5,1.5,1.5,0.0,K-GEMO
2.01,2.01,3.37,2.2,2.0,1.0,1.0,0.0,K-VALUE
0.0,0.0,2.09,0.07,3.0,0.75,3.0,0.0,KASF
3.21,1.07,5.59,1.28,,,2.0,0.0,K-PROPIRMF
1.07,1.07,2.35,1.23,0.5,0.5,0.5,0.0,K-PLAN3
1.87,1.87,2.43,2.04,2.0,1.0,2.0,0.0,K20SLTF-A(D)
1.87,1.87,2.43,2.04,2.0,0.0,,,K20SLTF-C(L)
0.54,0.27,1.04,0.32,,,,,K-TREASURY
3.21,1.28,4.87,1.37,3.0,1.5,3.0,0.0,K-CHANGE-A(A)
3.21,1.28,4.87,1.37,2.0,0.0,2.0,0.0,K-CHANGE-C(A)
3.21,1.28,4.87,1.37,3.0,0.0,3.0,0.0,K-CHANGE-SSF
1.07,0.86,2.38,1.08,1.0,0.0,1.0,0.25,K-2510
1.07,1.07,2.38,1.26,1.0,0.0,1.0,0.25,K-2530
3.21,0.8,4.87,0.89,3.0,0.5,3.0,0.0,K-APB-A(A)
3.21,0.64,4.87,0.72,2.0,0.0,2.0,0.0,K-APB-C(A)
1.6,1.6,2.17,1.81,2.0,0.0,,,KSDLTF
3.21,1.28,4.87,1.37,,,3.0,0.0,K-CHANGERMF
3.21,1.07,4.01,1.25,,,2.0,0.0,K-GARMF
0.0,0.0,2.09,0.05,3.0,0.75,3.0,0.0,KACB
2.68,0.75,4.71,0.83,1.0,0.5,,,K-GSTEPB
3.21,0.54,4.01,0.76,1.5,0.0,1.5,0.15,K-INDX
1.87,1.87,2.43,2.04,,,2.0,0.0,K-BLRMF
3.21,1.07,4.01,1.2,3.0,1.0,3.0,0.0,K-PROPI-A(D)
3.21,1.07,4.87,1.15,2.0,0.5,2.0,0.0,K-WPSPEEDUP
3.21,0.86,4.87,0.93,3.0,1.0,3.0,0.0,K-ALLGR-UI-A(A)
3.21,0.86,4.87,0.93,2.0,0.0,2.0,0.0,K-ALLGR-UI-C(A)
3.21,0.8,4.01,0.97,3.0,0.5,3.0,0.0,K-GB-A(D)
3.21,0.8,4.01,0.97,3.0,0.0,3.0,0.0,K-GB-C(A)
3.21,1.6,4.01,1.74,3.0,1.5,3.0,0.0,K-EUROPE-A(D)
2.14,0.0,2.46,0.0,,,,,K-FGB6MJ(USD)
3.21,0.75,4.87,0.82,3.0,0.5,3.0,0.0,K-ALLRD-UI-A(A)
0.54,0.43,1.02,0.5,,,,,K-MONEY
3.21,2.01,3.74,2.13,2.0,1.0,2.0,0.0,K-MIDSMALL
0.54,0.43,1.82,0.5,1.0,0.0,0.5,0.0,K-FIXED-A
0.54,0.0,1.82,0.07,1.0,0.0,0.5,0.0,K-FIXED-Z
3.21,1.6,4.87,1.7,,,3.0,0.0,K-USARMF
