fund_name,label,fund_return,benchmark_return,peer_return
K-GIFRMF,2020,-4.13,-7.29,-7.34
K-GIFRMF,2021,12.86,23.04,18.09
K-GIFRMF,2022,-10.45,-4.87,-8.55
K-GIFRMF,2023,-1.69,3.2,0.86
K-GIFRMF,2024,3.05,11.48,1.7
K-GINCOMERMF,2023,4.28,9.45,5.1
K-GINCOMERMF,2024,4.39,8.66,4.18
K-FLRMF,2020,-7.15,-2.75,-3.71
K-FLRMF,2021,18.97,13.2,17.78
K-FLRMF,2022,2.22,2.84,-4.53
K-FLRMF,2023,-10.1,-9.29,-7.42
K-FLRMF,2024,-5.7,2.51,0.46
K-SFRMF,2020,1.34,1.26,0.49
K-SFRMF,2021,0.87,0.6,0.42
K-SFRMF,2022,0.57,0.73,0.55
K-SFRMF,2023,1.7,1.72,1.53
K-SFRMF,2024,2.58,2.55,2.11
KPVDSF,2020,1.6,1.26,0.49
KPVDSF,2021,1.1,0.6,0.42
KPVDSF,2022,1.06,0.73,0.55
KPVDSF,2023,2.24,1.72,1.53
KPVDSF,2024,3.07,2.55,2.11
K-GOLD-A(A),2021,-4.25,-2.84,-1.94
K-GOLD-A(A),2022,-1.33,-0.65,-0.75
K-GOLD-A(A),2023,8.93,10.08,9.13
K-GOLD-A(A),2024,20.25,21.29,20.7
K-GB-A(D),2020,5.78,5.36,3.62
K-GB-A(D),2021,-0.09,1.35,1.13
K-GB-A(D),2022,-11.67,-9.48,-10.76
K-GB-A(D),2023,1.45,3.64,2.91
K-GB-A(D),2024,-0.48,0.22,0.54
KEQLTF-C(L),2020,-11.04,-5.23,-11.22
KEQLTF-C(L),2021,10.71,17.67,16.03
KEQLTF-C(L),2022,0.99,3.53,1.98
KEQLTF-C(L),2023,-11.37,-12.66,-9.68
KEQLTF-C(L),2024,-3.79,2.31,1.34
K-CBOND-Z,2023,2.0,1.03,1.61
K-CBOND-Z,2024,3.61,2.49,2.85
K-WPSPEEDUP,2022,-18.23,-15.7,-4.53
K-WPSPEEDUP,2023,6.86,13.54,-7.42
K-WPSPEEDUP,2024,5.7,7.74,0.46
K-EUX,2020,-3.54,0.25,4.62
K-EUX,2021,23.78,24.39,24.32
K-EUX,2022,-7.98,-9.06,-19.18
K-EUX,2023,19.48,20.89,12.78
K-EUX,2024,8.7,8.07,6.42
K-ICT,2020,-10.87,-10.39,-9.61
K-ICT,2021,45.87,48.41,19.03
K-ICT,2022,-10.99,-11.02,1.13
K-ICT,2023,-6.05,-5.87,-11.89
K-ICT,2024,37.06,36.6,-1.94
K-SF-A,2020,0.77,0.88,0.49
K-SF-A,2021,0.22,0.49,0.42
K-SF-A,2022,0.48,-4.01,0.55
K-SF-A,2023,1.51,0.3,1.53
K-SF-A,2024,2.2,3.4,2.11
K-FITS,2020,3.34,2.99,-1.01
K-FITS,2021,2.59,3.0,3.3
K-FITS,2022,-5.1,3.0,-3.64
K-FITS,2023,2.87,2.98,-0.77
K-FITS,2024,5.18,2.99,2.05
K-STAR-A(R),2020,-8.51,-5.23,-9.61
K-STAR-A(R),2021,19.5,17.67,19.03
K-STAR-A(R),2022,-1.1,3.53,1.13
K-STAR-A(R),2023,-12.6,-12.66,-11.89
K-STAR-A(R),2024,-5.97,2.31,-1.94
KEQLTF-A(A),2021,10.7,17.67,16.03
KEQLTF-A(A),2022,0.9,3.53,1.98
KEQLTF-A(A),2023,-11.54,-12.66,-9.68
KEQLTF-A(A),2024,-3.86,2.31,1.34
K-GINCOME-SSF,2021,9.99,13.77,6.9
K-GINCOME-SSF,2022,-13.61,-15.49,-17.03
K-GINCOME-SSF,2023,4.1,9.45,5.1
K-GINCOME-SSF,2024,4.1,8.66,4.18
K-GPROP-A(D),2020,-11.03,-9.2,-6.59
K-GPROP-A(D),2021,23.8,29.67,19.71
K-GPROP-A(D),2022,-28.49,-24.06,-25.78
K-GPROP-A(D),2023,2.29,6.76,0.76
K-GPROP-A(D),2024,-4.82,-3.65,-6.07
K-JP-A(D),2020,5.56,9.22,10.09
K-JP-A(D),2021,9.49,12.66,6.73
K-JP-A(D),2022,-5.93,-5.26,-10.31
K-JP-A(D),2023,17.14,28.34,20.35
K-JP-A(D),2024,10.48,21.0,15.09
K-CHINA-A(D),2020,3.03,30.09,19.36
K-CHINA-A(D),2021,-21.33,-18.95,-12.55
K-CHINA-A(D),2022,-26.73,-19.43,-27.2
K-CHINA-A(D),2023,-27.24,-14.81,-20.2
K-CHINA-A(D),2024,4.66,14.84,6.94
K-FIXEDPLUS-SSF,2021,0.17,0.12,-0.26
K-FIXEDPLUS-SSF,2022,-0.55,-1.25,-1.11
K-FIXEDPLUS-SSF,2023,1.79,0.58,1.01
K-FIXEDPLUS-SSF,2024,3.25,2.88,5.36
K-USARMF,2021,-4.41,33.42,22.2
K-USARMF,2022,-55.39,-17.1,-30.01
K-USARMF,2023,37.95,27.88,25.04
K-USARMF,2024,15.26,16.68,18.66
K-JPRMF,2020,5.12,9.22,10.09
K-JPRMF,2021,9.4,12.66,6.73
K-JPRMF,2022,-5.9,-5.26,-10.31
K-JPRMF,2023,17.43,28.34,20.35
K-JPRMF,2024,10.61,21.0,15.09
K-GINFRA-C(A),2023,0.0,3.2,0.86
K-GINFRA-C(A),2024,-3.5,11.48,1.7
K-2530,2020,-0.26,0.85,-3.46
K-2530,2021,11.69,5.5,7.56
K-2530,2022,1.69,1.21,-5.37
K-2530,2023,-4.41,-3.36,-1.48
K-2530,2024,-0.68,2.96,2.39
K-GA-A(A),2023,7.91,12.08,5.1
K-GA-A(A),2024,4.68,5.83,4.18
K-INDIA-A(D),2020,3.68,15.86,12.07
K-INDIA-A(D),2021,25.58,29.17,26.23
K-INDIA-A(D),2022,-15.81,-6.89,-12.85
K-INDIA-A(D),2023,19.76,20.47,16.93
K-INDIA-A(D),2024,16.03,10.17,10.37
K-CHX,2020,21.37,25.07,25.04
K-CHX,2021,-10.85,-5.55,-5.44
