Index,Last Close,1D Change,YTD Change
SET,1143.31,1.98%,-18.35%
S&P 50,744.01,2.19%,-17.90%
S&P 500,6268.56,0.14%,6.58%
NASDAQ,20640.33,0.27%,6.88%
STOXX Europe 600,546.99,-0.06%,7.76%
NIKKEI 225,39459.62,-0.28%,-1.09%
TOPIX,2822.81,-0.02%,1.36%
SHCOMP (A-Shares),3519.65,0.27%,5.01%
HSCEI (H-SHARES),8732.74,0.52%,19.79%
HANG SENG,24203.32,0.26%,20.65%
SENSEX,82253.46,-0.30%,5.27%
NIFTY,25082.3,-0.27%,6.08%
VNI (Vietnam),1470.42,0.87%,16.08%
GOLD SPOT,3343.51,-0.36%,27.40%
OIL-WTI,66.98,-2.15%,-6.61%
US 10Yr Treasury,4.43%,2bps,-14bps
